model,network_time,test_data_time,forward_time,load_time,accuracy,confusion_matrix
params/400-10.pt,0.0018755000201053,0.6893800999969244,0.0302880997187457,0.0572279000189155,98.35,"[[970, 1, 1, 0, 0, 2, 4, 1, 1, 0], [0, 1126, 2, 1, 0, 1, 2, 1, 2, 0], [2, 1, 1013, 3, 2, 0, 2, 4, 5, 0], [0, 0, 4, 994, 0, 3, 0, 2, 1, 6], [2, 1, 2, 1, 965, 0, 3, 1, 0, 7], [2, 0, 0, 5, 2, 875, 3, 0, 4, 1], [3, 2, 0, 1, 3, 4, 945, 0, 0, 0], [0, 3, 6, 1, 1, 0, 0, 1009, 4, 4], [3, 0, 3, 4, 3, 0, 3, 2, 953, 3], [2, 2, 0, 4, 8, 2, 0, 4, 2, 985]]"
params/400-300-10.pt,0.0024309000000357,0.7041640000534244,0.0400547996978275,0.0616351999924518,98.34,"[[973, 0, 1, 0, 0, 0, 2, 1, 2, 1], [0, 1122, 3, 1, 0, 1, 2, 1, 4, 1], [3, 1, 1015, 0, 1, 0, 2, 7, 3, 0], [0, 0, 3, 996, 0, 3, 0, 2, 1, 5], [1, 0, 3, 0, 966, 0, 3, 2, 0, 7], [2, 0, 0, 4, 1, 876, 2, 1, 4, 2], [4, 3, 2, 1, 4, 3, 940, 0, 1, 0], [1, 1, 7, 2, 1, 0, 0, 1007, 3, 6], [3, 0, 2, 2, 2, 3, 2, 3, 953, 4], [2, 2, 0, 4, 7, 2, 2, 4, 0, 986]]"
params/128-10.pt,0.0007792999967932,0.6997231999994256,0.0153572002309374,0.0594851996283978,97.98,"[[970, 0, 1, 0, 1, 1, 2, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 1, 1, 1, 0], [4, 1, 1011, 2, 3, 0, 3, 5, 3, 0], [0, 0, 5, 992, 0, 2, 0, 2, 4, 5], [1, 0, 3, 0, 959, 0, 3, 3, 1, 12], [2, 0, 0, 7, 1, 871, 5, 0, 5, 1], [5, 3, 2, 1, 3, 3, 941, 0, 0, 0], [2, 5, 6, 5, 0, 0, 0, 1001, 4, 5], [4, 0, 4, 3, 4, 5, 1, 3, 947, 3], [4, 2, 0, 5, 6, 3, 0, 6, 4, 979]]"
params/400-10.pt,0.0020325999939814,0.7009955999674276,0.0303187999525107,0.0604248997406102,98.35,"[[970, 1, 1, 0, 0, 2, 4, 1, 1, 0], [0, 1126, 2, 1, 0, 1, 2, 1, 2, 0], [2, 1, 1013, 3, 2, 0, 2, 4, 5, 0], [0, 0, 4, 994, 0, 3, 0, 2, 1, 6], [2, 1, 2, 1, 965, 0, 3, 1, 0, 7], [2, 0, 0, 5, 2, 875, 3, 0, 4, 1], [3, 2, 0, 1, 3, 4, 945, 0, 0, 0], [0, 3, 6, 1, 1, 0, 0, 1009, 4, 4], [3, 0, 3, 4, 3, 0, 3, 2, 953, 3], [2, 2, 0, 4, 8, 2, 0, 4, 2, 985]]"
params/400-300-10.pt,0.0019427000079303,0.7040436000097543,0.0389894997933879,0.0609454997465945,98.34,"[[973, 0, 1, 0, 0, 0, 2, 1, 2, 1], [0, 1122, 3, 1, 0, 1, 2, 1, 4, 1], [3, 1, 1015, 0, 1, 0, 2, 7, 3, 0], [0, 0, 3, 996, 0, 3, 0, 2, 1, 5], [1, 0, 3, 0, 966, 0, 3, 2, 0, 7], [2, 0, 0, 4, 1, 876, 2, 1, 4, 2], [4, 3, 2, 1, 4, 3, 940, 0, 1, 0], [1, 1, 7, 2, 1, 0, 0, 1007, 3, 6], [3, 0, 2, 2, 2, 3, 2, 3, 953, 4], [2, 2, 0, 4, 7, 2, 2, 4, 0, 986]]"
params/400-10.pt,0.0013042999780736,0.7599382000043988,0.0286812001722864,0.0608796002925373,98.35,"[[970, 1, 1, 0, 0, 2, 4, 1, 1, 0], [0, 1126, 2, 1, 0, 1, 2, 1, 2, 0], [2, 1, 1013, 3, 2, 0, 2, 4, 5, 0], [0, 0, 4, 994, 0, 3, 0, 2, 1, 6], [2, 1, 2, 1, 965, 0, 3, 1, 0, 7], [2, 0, 0, 5, 2, 875, 3, 0, 4, 1], [3, 2, 0, 1, 3, 4, 945, 0, 0, 0], [0, 3, 6, 1, 1, 0, 0, 1009, 4, 4], [3, 0, 3, 4, 3, 0, 3, 2, 953, 3], [2, 2, 0, 4, 8, 2, 0, 4, 2, 985]]"
params/128-10.pt,0.0006793999928049,0.6926024999702349,0.0169124997919425,0.0614011000143364,97.98,"[[970, 0, 1, 0, 1, 1, 2, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 1, 1, 1, 0], [4, 1, 1011, 2, 3, 0, 3, 5, 3, 0], [0, 0, 5, 992, 0, 2, 0, 2, 4, 5], [1, 0, 3, 0, 959, 0, 3, 3, 1, 12], [2, 0, 0, 7, 1, 871, 5, 0, 5, 1], [5, 3, 2, 1, 3, 3, 941, 0, 0, 0], [2, 5, 6, 5, 0, 0, 0, 1001, 4, 5], [4, 0, 4, 3, 4, 5, 1, 3, 947, 3], [4, 2, 0, 5, 6, 3, 0, 6, 4, 979]]"
params/400-10.pt,0.0017769999685697,0.7029908000258729,0.0280851001152768,0.0576660998049192,98.35,"[[970, 1, 1, 0, 0, 2, 4, 1, 1, 0], [0, 1126, 2, 1, 0, 1, 2, 1, 2, 0], [2, 1, 1013, 3, 2, 0, 2, 4, 5, 0], [0, 0, 4, 994, 0, 3, 0, 2, 1, 6], [2, 1, 2, 1, 965, 0, 3, 1, 0, 7], [2, 0, 0, 5, 2, 875, 3, 0, 4, 1], [3, 2, 0, 1, 3, 4, 945, 0, 0, 0], [0, 3, 6, 1, 1, 0, 0, 1009, 4, 4], [3, 0, 3, 4, 3, 0, 3, 2, 953, 3], [2, 2, 0, 4, 8, 2, 0, 4, 2, 985]]"
params/128-10.pt,0.0007913999725133,0.7034393000067212,0.0149086997844278,0.0487075005075894,97.98,"[[970, 0, 1, 0, 1, 1, 2, 1, 3, 1], [0, 1127, 3, 1, 0, 1, 1, 1, 1, 0], [4, 1, 1011, 2, 3, 0, 3, 5, 3, 0], [0, 0, 5, 992, 0, 2, 0, 2, 4, 5], [1, 0, 3, 0, 959, 0, 3, 3, 1, 12], [2, 0, 0, 7, 1, 871, 5, 0, 5, 1], [5, 3, 2, 1, 3, 3, 941, 0, 0, 0], [2, 5, 6, 5, 0, 0, 0, 1001, 4, 5], [4, 0, 4, 3, 4, 5, 1, 3, 947, 3], [4, 2, 0, 5, 6, 3, 0, 6, 4, 979]]"
params/400-300-10.pt,0.0027947999769821763,0.7052673000143841,0.03800730034708977,0.059875499980989844,98.34,"[[973, 0, 1, 0, 0, 0, 2, 1, 2, 1], [0, 1122, 3, 1, 0, 1, 2, 1, 4, 1], [3, 1, 1015, 0, 1, 0, 2, 7, 3, 0], [0, 0, 3, 996, 0, 3, 0, 2, 1, 5], [1, 0, 3, 0, 966, 0, 3, 2, 0, 7], [2, 0, 0, 4, 1, 876, 2, 1, 4, 2], [4, 3, 2, 1, 4, 3, 940, 0, 1, 0], [1, 1, 7, 2, 1, 0, 0, 1007, 3, 6], [3, 0, 2, 2, 2, 3, 2, 3, 953, 4], [2, 2, 0, 4, 7, 2, 2, 4, 0, 986]]"
